# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:43:42 2022
# diag: nrgsummary, run(s): 1-dat, time window: 0-1760.9161(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p02/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  2.6638E+02  1.6634E-01  3.5698E+00 -2.6312E-03
  2.6727E+02  1.6839E-01  3.5708E+00 -7.5262E-03
  2.6816E+02  1.6896E-01  3.5748E+00 -1.3509E-02
  2.6906E+02  1.6895E-01  3.5758E+00 -1.8367E-02
  2.6995E+02  1.6787E-01  3.5722E+00 -2.0821E-02
  2.7084E+02  1.6595E-01  3.5649E+00 -2.1258E-02
  2.7173E+02  1.6467E-01  3.5565E+00 -2.1912E-02
  2.7262E+02  1.6647E-01  3.5453E+00 -2.5466E-02
  2.7351E+02  1.6751E-01  3.5389E+00 -2.9921E-02
  2.7440E+02  1.6854E-01  3.5359E+00 -3.3303E-02
  2.7529E+02  1.6850E-01  3.5289E+00 -3.2246E-02
  2.7618E+02  1.6838E-01  3.5247E+00 -3.1936E-02
  2.7708E+02  1.6677E-01  3.5222E+00 -3.4231E-02
  2.7797E+02  1.6560E-01  3.5118E+00 -3.6142E-02
  2.7886E+02  1.6468E-01  3.5049E+00 -3.7480E-02
  2.7975E+02  1.6488E-01  3.5088E+00 -3.6529E-02
  2.8064E+02  1.6612E-01  3.5137E+00 -3.5130E-02
  2.8153E+02  1.6609E-01  3.5119E+00 -3.3757E-02
  2.8242E+02  1.6436E-01  3.5075E+00 -3.3118E-02
  2.8331E+02  1.6449E-01  3.5006E+00 -3.2979E-02
  2.8420E+02  1.6519E-01  3.4904E+00 -3.1290E-02
  2.8509E+02  1.6501E-01  3.4757E+00 -2.6355E-02
  2.8599E+02  1.6479E-01  3.4644E+00 -2.0749E-02
  2.8688E+02  1.6357E-01  3.4555E+00 -1.6493E-02
  2.8777E+02  1.6016E-01  3.4413E+00 -1.1052E-02
